Comment,Designator,Footprint,LCSC,Quantity
1206W4F2200T5E,"R1,R2,R3,R4,R5,R6,R7,R8,R9",R1206,C17957,9
1206W4J0102T5E,"R10,R11,R12",R1206,C1469,3
1N4001_C2456,"D1,D2,D3,D4,D5,D6,D7,D8,D9",DO-41_BD2.4-L4.7-P8.70-D0.9-RD,C2456,9
Female header　2.54 1*5Ｐ,Q10,HDR-TH_5P-P2.54-V-F-B,C46341,1
HC-PM254-5.0H-1X8PZ,"U1,U2",CONN-TH_HC-PM254-1X08-8.5HZ,C27985233,2
Header-Female-2.54_1x2,"P10,P11,P13,P9,R14",HDR-TH_2P-P2.54-V-F,C49661,5
Header-Female-2.54_1x3,"P12,P6,P7,P8",HDR-TH_3P-P2.54-V-F,C146243,4
IRLZ44NPBF,"Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9",TO-220-3_L10.0-W4.5-P2.54-T,C38774,9
RTT066800FTP,R13,R1206,C4521,1
WJ127-5.0-2P,"5V,Add12,Add5,Fuente,P1,P2,P3,P4,P5,Speaker",CONN-TH_2P-P5.00_CPC3703CTR,C3703,10
